contestant_name,profession,state,finish,normalized_finish,gender,age,num_season,birthdate,employment_category,region
Julia Sokolowski,College Student,Massachusetts,7,0.6111111111111112,F,19,32,1996-04-08,Student,East Coast
Kyle Jason,Bounty Hunter,Michigan,6,0.6666666666666667,M,31,32,1984-07-16,Other,Midwest
Joe del Campo,Former FBI Agent,Florida,5,0.7222222222222222,M,71,32,1943-07-04,Other,East Coast
Cydney Gillon,Bodybuilder,Georgia,4,0.7777777777777778,F,23,32,1992-09-14,Other,East Coast
Tai Trang,Gardener,California,3,0.8333333333333334,M,51,32,1964-03-23,Other,West
Aubry Bracco,Social Media Marketer,Massachusetts,2,0.8888888888888888,F,29,32,1985-11-14,Other,East Coast
Michele Fitzgerald,Bartender,New Jersey,1,0.9444444444444444,F,24,32,1990-05-05,Hospitality,East Coast
Rachel Ako,Recruiting Director,California,20,0.0,F,37,33,1978-09-08,Other,West
Mari Takahashi,Gamer,California,19,0.05,F,31,33,1984-11-02,Other,West
Paul Wachter,Boat Mechanic,Florida,18,0.0999999999999999,M,52,33,1963-10-10,Engineering/Technical,East Coast
Lucy Huang,Dietitian,California,17,0.15,F,42,33,1973-09-22,Other,West
CeCe Taylor,Insurance Adjuster,California,16,0.1999999999999999,F,39,33,1977-03-02,Other,West
Figgy Figueroa,Bartender,Tennessee,15,0.25,F,23,33,1992-12-12,Hospitality,South
Michaela Bradshaw,Vacation Club Saleswoman,Texas,14,0.3,F,25,33,1990-12-01,Business,South
Michelle Schubert,Missionary Recruiter,Washington,13,0.35,F,28,33,1988-03-11,Other,West
Taylor Stocker,Snowboard Instructor,Idaho,12,0.4,M,24,33,1991-11-20,Other,West
Chris Hammons,Trial Attorney,Oklahoma,11,0.4499999999999999,M,38,33,1978-04-01,Law,South
Jessica Lewis,Assistant District Attorney,New York,10,0.5,F,37,33,1979-02-24,Law,East Coast
Zeke Smith,Asset Manager,New York,9,0.55,M,28,33,1988-01-25,Other,East Coast
Will Wahl,High School Student,New Jersey,8,0.6,M,18,33,1997-08-12,Student,East Coast
Sunday Burquest,Youth Pastor,Minnesota,7,0.65,F,45,33,1971-02-06,Other,Midwest
Jay Starrett,Real Estate Agent,Florida,6,0.7,M,27,33,1989-06-03,Business,East Coast
Bret LaBelle,Police Sergeant,Massachusetts,5,0.75,M,42,33,1973-08-20,Other,East Coast
David Wright,Television Writer,California,4,0.8,M,42,33,1974-02-06,Other,West
Hannah Shapiro,Barista,California,2,0.9,F,24,33,1992-02-24,Other,West
Ken McNickle,Model,Colorado,2,0.9,M,33,33,1982-09-20,Other,West
Adam Klein,Homeless Shelter Manager,California,1,0.95,M,25,33,1991-01-15,Other,West
Ciera Eastin,Cosmetology Student,Oregon,20,0.0,F,27,34,1989-03-05,Student,West
Tony Vlachos,Police Officer,New Jersey,19,0.05,M,42,34,1973-09-10,Other,East Coast
Caleb Reynolds,Army Veteran,Kentucky,18,0.0999999999999999,M,28,34,1987-11-27,Other,South
Malcolm Freberg,Bartender,California,17,0.15,M,29,34,1987-05-07,Hospitality,West
J.T. Thomas,Cattle Rancher,Alabama,16,0.1999999999999999,M,31,34,1984-06-23,Agriculture,South
Sandra Diaz-Twine,Office Assistant,North Carolina,15,0.25,F,42,34,1974-07-30,Other,East Coast
Jeff Varner,Internet Project Manager,North Carolina,14,0.3,M,50,34,1966-04-16,Other,East Coast
Hali Ford,Law Student,Tennessee,13,0.35,F,26,34,1989-07-20,Student,South
Ozzy Lusth,Photographer,California,12,0.4,M,34,34,1981-08-23,Other,West
Debbie Wanner,Chemist,Pennsylvania,11,0.4499999999999999,F,51,34,1965-11-21,Other,East Coast
Zeke Smith,Asset Manager,New York,10,0.5,M,28,34,1988-01-25,Other,East Coast
Sierra Dawn Thomas,Barrel Racer,Utah,9,0.55,F,29,34,1986-12-18,Other,West
Andrea Boehlke,Entertainment Host/Writer,New York,8,0.6,F,27,34,1989-05-10,Other,East Coast
Michaela Bradshaw,Vacation Club Sales,Texas,7,0.65,F,25,34,1990-12-01,Business,South
Cirie Fields,Nurse,Connecticut,6,0.7,F,45,34,1970-07-18,Healthcare,East Coast
Aubry Bracco,Social Media Marketer,Massachusetts,5,0.75,F,30,34,1985-11-14,Other,East Coast
Tai Trang,Gardener,California,4,0.8,M,52,34,1964-03-23,Other,West
Troyzan Robertson,Swimsuit Photographer,Florida,3,0.85,M,54,34,1961-07-30,Other,East Coast
Brad Culpepper,Attorney/Former NFL Player,Florida,2,0.9,M,47,34,1969-05-08,Law,East Coast
Sarah Lacina,Police Officer,Iowa,1,0.95,F,32,34,1984-07-09,Other,Midwest
Katrina Radke,Olympian,Minnesota,18,0.0,F,46,35,1970-12-17,Other,Midwest
Simone Nguyen,Diversity Advocate,New York,17,0.0555555555555555,F,25,35,1991-05-31,Other,East Coast
Patrick Bolton,Small Business Owner,Alabama,16,0.1111111111111111,M,24,35,1992-03-06,Other,South
Alan Ball,NFL Player,Texas,15,0.1666666666666666,M,31,35,1985-03-29,Other,South
Roark Luskin,Social Worker,California,14,0.2222222222222222,F,27,35,1989-11-30,Other,West
Ali Elliott,Celebrity Assistant,California,13,0.2777777777777778,F,24,35,1992-11-13,Other,West
Jessica Johnston,Nurse Practitioner,Kentucky,12,0.3333333333333333,F,29,35,1987-04-05,Healthcare,South
Desi Williams,Physical Therapist,Virginia,11,0.3888888888888888,F,27,35,1989-06-14,Healthcare,East Coast
Cole Medders,Wilderness Therapy Guide,Arkansas,10,0.4444444444444444,M,24,35,1992-09-18,Other,South
JP Hilsabeck,Firefighter,California,9,0.5,M,28,35,1988-06-22,Other,West
Joe Mena,Probation Officer,Connecticut,8,0.5555555555555556,M,34,35,1983-03-15,Other,East Coast
Lauren Rimmer,Fisherwoman,North Carolina,7,0.6111111111111112,F,35,35,1982-03-06,Other,East Coast
Ashley Nolan,Lifeguard,Florida,6,0.6666666666666667,F,26,35,1990-09-17,Other,East Coast
Mike Zahalsky,Urologist,Florida,5,0.7222222222222222,M,43,35,1973-09-11,Other,East Coast
Devon Pinto,Surf Instructor,California,4,0.7777777777777778,M,24,35,1993-03-06,Other,West
Ryan Ulrich,Bellhop,New Jersey,3,0.8333333333333334,M,23,35,1993-09-08,Other,East Coast
Chrissy Hofbeck,Actuary,New Jersey,2,0.8888888888888888,F,46,35,1971-03-09,Other,East Coast
Ben Driebergen,Marine,Idaho,1,0.9444444444444444,M,34,35,1983-01-01,Other,West
Stephanie Gonzalez,Graphic Saleswoman,Florida,20,0.0,F,26,36,1991-04-22,Business,East Coast
Jacob Derwin,Music Teacher,New York,19,0.05,M,22,36,1995-06-01,Education,East Coast
Morgan Ricke,Marine Animal Trainer,Florida,18,0.0999999999999999,F,29,36,1987-08-06,Other,East Coast
Brendan Shapiro,Physical Education Teacher,Virginia,17,0.15,M,41,36,1976-06-17,Education,East Coast
Stephanie Johnson,Yoga Instructor,Illinois,16,0.1999999999999999,F,34,36,1982-09-10,Other,Midwest
James Lim,Business Analyst,New York,15,0.25,M,24,36,1993-03-17,Other,East Coast
Bradley Kleihege,Law Student,California,14,0.3,M,26,36,1990-09-14,Student,West
Chris Noble,Male Model,New York,13,0.35,M,27,36,1989-12-04,Other,East Coast
Libby Vincek,Social Media Strategist,Tennessee,12,0.4,F,24,36,1992-08-24,Other,South
Desiree Afuye,Student,New York,11,0.4499999999999999,F,21,36,1996-02-03,Student,East Coast
Jenna Bowman,Advertising Account Executive,California,10,0.5,F,23,36,1993-11-10,Other,West
Michael Yerger,Real Estate Agent,California,9,0.55,M,18,36,1998-07-20,Business,West
Chelsea Townsend,EMT/Pro Cheerleader,California,8,0.6,F,24,36,1992-05-25,Other,West
Kellyn Bechtold,Career Counselor,Colorado,7,0.65,F,31,36,1986-11-20,Other,West
Sebastian Noel,Fishing Guide,Florida,6,0.7,M,22,36,1994-07-20,Other,East Coast
Donathan Hurley,Caretaker,Kentucky,5,0.75,M,26,36,1991-07-19,Other,South
Angela Perkins,Army Veteran,Ohio,4,0.8,F,42,36,1974-11-02,Other,Midwest
Laurel Johnson,Financial Consultant,Minnesota,3,0.85,F,29,36,1988-02-29,Other,Midwest
Domenick Abbate,Construction Supervisor,New York,2,0.9,M,38,36,1978-10-31,Other,East Coast
Wendell Holland,Furniture Company Owner,Pennsylvania,1,0.95,M,33,36,1984-03-08,Other,East Coast
Pat Cusack,Maintenance Manager,New York,20,0.0,M,41,37,1977-02-25,Other,East Coast
Jessica Peet,Waitress,Florida,19,0.05,F,19,37,1998-10-22,Other,East Coast
Jeremy Crawford,Attorney,South Carolina,18,0.0999999999999999,M,40,37,1978-04-26,Law,East Coast
Bi Nguyen,Mixed Martial Arts Fighter,Texas,17,0.15,F,28,37,1989-10-30,Other,South
Natalia Azoqa,Industrial Engineer,California,16,0.1999999999999999,F,25,37,1992-04-02,Engineering/Technical,West
Natalie Cole,Publishing CEO,California,15,0.25,F,57,37,1961-02-26,Other,West
Lyrsa Torres,Airline Agent,Massachusetts,14,0.3,F,36,37,1981-09-12,Other,East Coast
Elizabeth Olson,Kitchen Staff Member,Texas,13,0.35,F,31,37,1987-01-22,Other,South
John Hennigan,Professional Wrestler,California,12,0.4,M,38,37,1979-10-03,Other,West
Dan Rengering,S.W.A.T. Officer,Florida,11,0.4499999999999999,M,27,37,1990-04-07,Other,East Coast
Alec Merlino,Bartender,California,10,0.5,M,24,37,1993-10-15,Hospitality,West
Carl Boudreaux,Truck Driver,Texas,9,0.55,M,41,37,1976-10-29,Other,South
Gabby Pascuzzi,Technical Writer,Florida,8,0.6,F,25,37,1993-03-23,Other,East Coast
Christian Hubicki,Robotics Scientist,Florida,7,0.65,M,32,37,1985-12-06,Other,East Coast
Davie Rickenbacker,Social Media Manager,South Carolina,6,0.7,M,30,37,1987-09-14,Other,East Coast
Alison Raybould,Physician,North Carolina,5,0.75,F,28,37,1989-07-12,Other,East Coast
Kara Kay,Realtor,California,4,0.8,F,30,37,1987-11-20,Other,West
Angelina Keeley,Financial Consultant,Nevada,3,0.85,F,28,37,1989-07-06,Other,West
Mike White,Filmmaker,California,2,0.9,M,47,37,1970-06-28,Other,West
Nick Wilson,Public Defender,Kentucky,1,0.95,M,27,37,1990-06-11,Other,South
Reem Daly,Sales Representative,Virginia,18,0.0,F,46,38,1971-07-08,Business,East Coast
Keith Sowell,Pre-Med Student,North Carolina,17,0.0555555555555555,M,19,38,1998-07-16,Student,East Coast
Aubry Bracco,Marketing Director,California,16,0.1111111111111111,F,32,38,1985-11-14,Other,West
Wendy Diaz,Small Business Owner,California,15,0.1666666666666666,F,25,38,1992-09-26,Other,West
Joe Anglim,Multimedia Artist,Utah,14,0.2222222222222222,M,29,38,1988-09-30,Arts,West
Eric Hafemann,Firefighter,California,13,0.2777777777777778,M,35,38,1983-04-13,Other,West
Julia Carter,Medical Assistant,Maryland,12,0.3333333333333333,F,25,38,1993-04-18,Other,East Coast
David Wright,Television Writer,California,11,0.3888888888888888,M,44,38,1974-02-06,Other,West
Kelley Wentworth,Marketing Manager,Washington,10,0.4444444444444444,F,31,38,1986-06-07,Other,West
Wardog DaSilva,Law Student/Former Military,California,9,0.5,M,38,38,1980-03-31,Student,West
Ron Clark,Teacher,Georgia,8,0.5555555555555556,M,46,38,1971-10-24,Education,East Coast
Aurora McCreary,Divorce Attorney,Florida,7,0.6111111111111112,F,32,38,1985-12-21,Law,East Coast
Victoria Baamonde,Waitress,New York,6,0.6666666666666667,F,23,38,1994-07-18,Other,East Coast
Lauren O'Connell,Student,California,5,0.7222222222222222,F,21,38,1996-10-25,Student,West
Rick Devens,Morning News Anchor,Virginia,4,0.7777777777777778,M,33,38,1984-04-05,Other,East Coast
Julie Rosenberg,Toymaker,New York,3,0.8333333333333334,F,46,38,1971-10-09,Other,East Coast
Gavin Whitson,YMCA Program Director,Tennessee,2,0.8888888888888888,M,23,38,1994-07-20,Other,South
Chris Underwood,District Sales Manager,South Carolina,1,0.9444444444444444,M,25,38,1992-10-06,Business,East Coast
Ronnie Bardah,Poker Player,Nevada,20,0.0,M,35,39,1982-08-29,Other,West
Molly Byman,Law Student,North Carolina,19,0.05,F,27,39,1990-10-05,Student,East Coast
Vince Moua,Admissions Counselor,California,18,0.0999999999999999,M,27,39,1991-04-09,Other,West
Chelsea Walker,Digital Content Creator,California,17,0.15,F,26,39,1992-03-10,Other,West
Tom Laidlaw,Former NHL Player,Connecticut,16,0.1999999999999999,M,60,39,1958-04-15,Other,East Coast
Jason Linden,Personal Injury Attorney,New York,15,0.25,M,32,39,1986-08-04,Law,East Coast
Jack Nichting,Grad Student,Virginia,14,0.3,M,23,39,1995-06-05,Student,East Coast
Kellee Kim,MBA Student,Pennsylvania,13,0.35,F,29,39,1989-10-17,Student,East Coast
Jamal Shipman,College Administrator,Rhode Island,12,0.4,M,33,39,1985-05-09,Other,East Coast
Aaron Meredith,Gym Owner,Rhode Island,11,0.4499999999999999,M,36,39,1982-12-16,Other,East Coast
Missy Byrd,Air Force Veteran,Washington,10,0.5,F,24,39,1994-07-01,Other,West
Elizabeth Beisel,Olympic Medalist,Rhode Island,9,0.55,F,26,39,1992-08-18,Other,East Coast
Karishma Patel,Personal Injury Attorney,Texas,8,0.6,F,37,39,1981-12-07,Law,South
Elaine Stott,Factory Worker,Kentucky,7,0.65,F,41,39,1978-01-13,Arts,South
Dan Spilo,Talent Manager,California,6,0.7,M,48,39,1970-06-28,Other,West
Janet Carbin,Chief Lifeguard,Florida,5,0.75,F,59,39,1959-06-15,Other,East Coast
Lauren Beck,Nanny,California,4,0.8,F,28,39,1989-11-16,Other,West
Noura Salman,Entrepreneur,Maryland,3,0.85,F,36,39,1982-08-23,Business,East Coast
Dean Kowalski,Tech Sales,New York,2,0.9,M,28,39,1990-04-12,Business,East Coast
Tommy Sheehan,4th Grade Teacher,New York,1,0.95,M,26,39,1992-10-26,Education,East Coast
Amber Mariano,Director of Marketing & Communications,Florida,20,0.0,F,40,40,1978-08-11,Other,East Coast
Danni Boatwright,Sideline Chic Owner,Kansas,19,0.05,F,43,40,1975-07-13,Other,Midwest
Ethan Zohn,Keynote Speaker/Social Entrepreneur,New Hampshire,18,0.0999999999999999,M,45,40,1973-11-12,Business,East Coast
Rob Mariano,Construction Worker,Florida,17,0.15,M,43,40,1975-12-25,Other,East Coast
Parvati Shallow,Life Coach/Speaker/Yoga Teacher,California,16,0.1999999999999999,F,36,40,1982-09-21,Education,West
Sandra Diaz-Twine,Case Manager,Florida,15,0.25,F,44,40,1974-07-30,Other,East Coast
Yul Kwon,Product Management,California,14,0.3,M,44,40,1975-02-14,Other,West
Wendell Holland,Furniture Designer,Pennsylvania,13,0.35,M,35,40,1984-03-08,Other,East Coast
Adam Klein,Host/Keynote Speaker,California,12,0.4,M,28,40,1991-01-15,Other,West
Tyson Apostol,Former Pro Cyclist/Shop Manager,Arizona,11,0.4499999999999999,M,39,40,1979-06-17,Other,West
Sophie Clarke,Healthcare Consultant,California,10,0.5,F,29,40,1989-07-10,Healthcare,West
Kim Spradlin-Wolfe,Interior Designer,Texas,9,0.55,F,36,40,1983-01-30,Other,South
Jeremy Collins,Firefighter,Massachusetts,8,0.6,M,41,40,1978-04-16,Other,East Coast
Nick Wilson,Attorney,Kentucky,7,0.65,M,28,40,1990-06-11,Law,South
Denise Stapley,Sex Therapist,Iowa,6,0.7,F,48,40,1971-01-01,Healthcare,Midwest
Ben Driebergen,Real Estate Agent/Stay-at-home Dad,Idaho,5,0.75,M,36,40,1983-01-01,Business,West
Sarah Lacina,Police Officer,Iowa,4,0.8,F,35,40,1984-07-09,Other,Midwest
Michele Fitzgerald,Business Development Manager,New Jersey,3,0.85,F,29,40,1990-05-05,Other,East Coast
Natalie Anderson,CrossFit Trainer,New Jersey,2,0.9,F,33,40,1986-04-11,Other,East Coast
Tony Vlachos,Police Officer,New Jersey,1,0.95,M,45,40,1973-09-10,Other,East Coast
Eric Abraham,Cyber Security Analyst,Texas,18,0.0,M,51,41,1970-06-10,Other,South
Sara Wilson,Healthcare Consultant,Massachusetts,17,0.0555555555555555,F,24,41,1997-06-28,Healthcare,East Coast
David Voce,Neurosurgeon,Illinois,16,0.1111111111111111,M,35,41,1986-05-01,Healthcare,Midwest
Brad Reese,Rancher,Wyoming,15,0.1666666666666666,M,50,41,1971-07-21,Agriculture,West
JD Robinson,College Student,Oklahoma,14,0.2222222222222222,M,20,41,2001-03-18,Student,South
Genie Chen,Grocery Clerk,Oregon,13,0.2777777777777778,F,46,41,1975-03-04,Other,West
Sydney Segal,Law Student,New York,12,0.3333333333333333,F,26,41,1995-07-19,Student,East Coast
Tiffany Seely,Teacher,New York,11,0.3888888888888888,F,47,41,1973-12-08,Education,East Coast
Naseer Muttalif,Sales Manager,California,10,0.4444444444444444,M,37,41,1984-06-09,Business,West
Evvie Jagoda,PhD Student,Massachusetts,9,0.5,N,28,41,1992-10-26,Student,East Coast
Shan Smith,Pastor,District of Columbia,8,0.5555555555555556,F,34,41,1987-03-11,Other,East Coast
Liana Wallace,College Student,District of Columbia,7,0.6111111111111112,F,20,41,2000-10-25,Student,East Coast
Danny McCray,Ex-NFL Player,Texas,6,0.6666666666666667,M,33,41,1988-03-10,Other,South
Ricard Foyé,Flight Attendant,Washington,5,0.7222222222222222,M,31,41,1989-12-04,Other,West
Heather Aldret,Stay-at-Home Mom,South Carolina,4,0.7777777777777778,F,52,41,1969-03-01,Other,East Coast
Xander Hastings,App Developer,Illinois,3,0.8333333333333334,M,21,41,2000-08-11,Business,Midwest
Deshawn Radden,Medical Student,Florida,2,0.8888888888888888,M,26,41,1995-09-17,Student,East Coast
Erika Casupanan,Communications Manager,Ontario,1,0.9444444444444444,F,32,41,1989-07-20,Other,Unknown
Jackson Fox,Healthcare Worker,Texas,18,0.0,M,48,42,1973-08-13,Healthcare,South
Zach Wurtenberger,Student,Missouri,17,0.0555555555555555,M,22,42,2000-01-26,Student,Midwest
Marya Sherron,Stay-at-Home Mom,Indiana,16,0.1111111111111111,F,47,42,1974-03-26,Other,Midwest
Jenny Kim,Creative Director,New York,15,0.1666666666666666,F,43,42,1978-06-30,Other,East Coast
Swati Goel,Ivy League Student,California,14,0.2222222222222222,F,19,42,2002-03-20,Student,West
Daniel Strunk,Law Clerk,Connecticut,13,0.2777777777777778,M,30,42,1991-03-26,Other,East Coast
Lydia Meredith,Waitress,California,12,0.3333333333333333,F,22,42,1999-05-23,Other,West
Chanelle Howell,Executive Recruiter,New York,11,0.3888888888888888,F,29,42,1992-08-22,Other,East Coast
Rocksroy Bailey,Stay-at-Home Dad,Nevada,10,0.4444444444444444,M,44,42,1978-01-12,Other,West
Tori Meehan,Therapist,Arkansas,9,0.5,F,25,42,1996-09-03,Healthcare,South
Hai Giang,Data Scientist,Louisiana,8,0.5555555555555556,M,29,42,1992-10-09,Other,South
Drea Wheeler,Fitness Consultant,Quebec,7,0.6111111111111112,F,35,42,1986-08-27,Other,Unknown
Omar Zaheer,Veterinarian,Ontario,6,0.6666666666666667,M,31,42,1990-10-24,Other,Unknown
Lindsay Dolashewich,Dietitian,New Jersey,5,0.7222222222222222,F,31,42,1991-02-01,Other,East Coast
Jonathan Young,Beach Service Company Owner,Alabama,4,0.7777777777777778,M,29,42,1993-01-13,Other,South
Romeo Escobar,Pageant Coach,California,3,0.8333333333333334,M,37,42,1984-05-10,Education,West
Mike Turner,Retired Firefighter,New Jersey,2,0.8888888888888888,M,58,42,1963-10-15,Retired,East Coast
Maryanne Oketch,Seminary Student,Ontario,1,0.9444444444444444,F,24,42,1998-01-01,Student,Unknown
Morriah Young,Teacher,Pennsylvania,18,0.0,F,28,43,1993-12-03,Education,East Coast
Justine Brennan,Cyber Security Saleswoman,California,17,0.0555555555555555,F,29,43,1993-01-07,Business,West
Nneka Ejere,Pharmacist,Texas,16,0.1111111111111111,F,43,43,1979-06-24,Other,South
Lindsay Carmine,Pediatric Nurse,Pennsylvania,15,0.1666666666666666,F,42,43,1980-01-21,Healthcare,East Coast
Geo Bustamante,Project Manager,Hawaii,14,0.2222222222222222,M,35,43,1986-08-22,Other,West
Elie Scott,Clinical Psychologist,Utah,13,0.2777777777777778,F,31,43,1991-04-17,Other,West
Dwight Moore,Graduate Student,Tennessee,12,0.3333333333333333,M,22,43,2000-08-30,Student,South
Jeanine Zheng,UX Designer,California,11,0.3888888888888888,F,24,43,1997-12-19,Other,West
James Jones,Event Planner,Pennsylvania,10,0.4444444444444444,M,37,43,1985-05-07,Other,East Coast
Ryan Medrano,Warehouse Associate,Texas,9,0.5,M,24,43,1997-08-26,Other,South
Noelle Lambert,Paralympian,New Hampshire,8,0.5555555555555556,F,25,43,1997-01-24,Other,East Coast
Sami Layadi,Pet Cremator,Nevada,7,0.6111111111111112,M,19,43,2002-10-13,Other,West
Cody Assenmacher,Elevator Salesman,Hawaii,6,0.6666666666666667,M,35,43,1986-12-09,Business,West
Karla Cruz Godoy,Educational Project Manager,Delaware,5,0.7222222222222222,F,28,43,1994-02-19,Other,East Coast
Jesse Lopez,Political Science PhD,North Carolina,4,0.7777777777777778,M,30,43,1991-11-29,Other,East Coast
Owen Knight,College Admissions Director,Louisiana,3,0.8333333333333334,M,29,43,1992-07-10,Other,South
Cassidy Clark,Designer,Texas,2,0.8888888888888888,F,26,43,1996-01-16,Other,South
Mike Gabler,Heart Valve Specialist,Idaho,1,0.9444444444444444,M,52,43,1970-09-04,Other,West
